Species,Calling_place,log_DF,log_maleSVL,log_femaleSVL,log_SDI,Mean_Dominant_frequency,Min_Dominant_frequency,Max_Dominant_frequency,SDI (female/male),Mean_SVL_Male,Min_SVL_Male,Max_SVL_Male,n_Male,Mean_SVL_Female,Min_SVL_Female,Max_SVL_Female,n_Female,Group,Genera,Categorical_SSD,Categorical_DF,Categorical_DF_2,references_svl
Boana_caiapo,lentic,3.349083169,1.670245853,NA,NA,2234,1390,3078,NA,46.8,42.4,51.2,NA,NA,NA,NA,NA,Boana albopunctata,Boana,NA,high_DF,high_DF,Pinheiro et al. (2018)
Boana_caingua,lentic,3.567261692,1.561101384,1.645127399,0.08402601544,3692,3375,3937.5,1.213461538,36.4,32.95,39.78,NA,44.17,43.66,44.68,2,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Campos (2015)
Boana_caipora,lotic,3.426511261,1.523746467,1.612253906,0.08850743922,2670,2500,2930,1.226047904,33.4,29.7,37.5,18,40.95,37.6,44.3,2,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Antunes et al. (2008)
Boana_calcarata,lentic,3.250541978,1.565847819,1.706717782,0.1408699637,1780.5,1619.32,1927.25,1.383152174,36.8,27.6,42.5,45,50.9,45.9,56.3,4,Boana albopunctata,Boana,female_SSD,low_DF,low_DF,Caminer & Ron (2014)
Boana_callipleura,lentic,3.093421685,1.548389418,1.711807229,0.1634178109,1240,1070,1380,1.456859972,35.35,32,38.7,NA,51.5,51.5,51.5,NA,Boana pulchella,Boana,female_SSD,low_DF,low_DF,Reynold & Foster (1992); Kohler (2000)
Boana_cambui,lentic,3.62838893,1.469085299,1.514547753,0.04546245354,4250,3400,5100,1.110356537,29.45,26.3,32.6,NA,32.7,NA,NA,NA,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Pinheiro et al. (2016)
Boana_cinerascens,ambiguous,3.272769587,1.542825427,1.52179165,-0.02103377732,1874,NA,NA,0.952722063,34.9,32.3,37.5,NA,33.25,32,34.5,NA,Boana punctata,Boana,male_SSD,high_DF,low_DF,Telles et al. (2013); Sturaro et al. (2020)
Boana_cipoensis,lotic,NA,1.51851394,1.568201724,0.04968778419,NA,NA,NA,1.121212121,33,NA,NA,NA,37,NA,NA,NA,Boana pulchella,Boana,female_SSD,NA,NA,Eterovick & Sazima (2004)
Boana_claresignata,lotic,NA,1.579783597,1.785329835,0.2055462384,NA,NA,NA,1.605263158,38,36,40,NA,61,61,61,NA,Boana claresignata,Boana,female_SSD,NA,NA,Lutz & Orton (1946)
Boana_clepsydra,lotic,3.386855529,1.58546073,1.72427587,0.1832698437,2437,2053,3010,1.525000000,38.5,34,43,NA,53,51,55,1,Boana claresignata,Boana,female_SSD,high_DF,high_DF,Bokermann (1972); Lyra et al. (2020)
Boana_cordobae,lotic,3.256477206,1.681331706,1.772834927,0.09150322128,1805,1160,2450,1.234534472,48.01,38,56.26,39,59.27,41.15,58,21,Boana pulchella,Boana,female_SSD,low_DF,low_DF,Baraquet et al. (2013)
Boana_courtoisae,lentic,3.310905629,1.523095838,1.647871765,0.1247759271,2046,1637,2455,1.332833583,33.35,30.8,35.9,,44.45,43,45.9,,Boana albopunctata,Boana,female_SSD,high_DF,high_DF,Fouquet et al. (2021)
Boana_crepitans,lentic,3.044147621,1.736396502,1.810232518,0.07383601575,1107,965,1288,1.185321101,54.5,50,58.5,19,64.6,62.8,67.9,5,Boana faber,Boana,female_SSD,low_DF,low_DF,Duellman (1970)
Boana_curupi,lotic,3.230448921,1.551449998,1.650307523,0.09885752532,1700,1200,2200,1.255617978,35.6,29,43.4,57,44.7,41.3,47,6,Boana pulchella,Boana,female_SSD,low_DF,low_DF,Garcia et al. (2007)
Boana_cymbalum,lotic,NA,1.672097858,NA,NA,NA,NA,NA,NA,47,45,49,NA,NA,NA,NA,NA,Boana pulchella,Boana,NA,NA,NA,Bokermann (1963)
Boana_dentei,lentic,3.380211242,1.551449998,1.675778342,0.1243283436,2400,1900,2900,1.331460674,35.6,34.4,37.5,8,47.4,45.9,49,2,Boana albopunctata,Boana,female_SSD,high_DF,high_DF,Marinho et al. (2020)
Boana_diabolica,lentic,3.064457989,1.638489257,1.750508395,0.112019138,1160,1110,1190,1.294252874,43.5,38.5,48,17,56.3,55.9,56.7,2,Boana semilineata,Boana,female_SSD,low_DF,low_DF,Fouquet et al. (2016)
Boana_ericae,lentic,3.431363764,1.499687083,1.567026366,0.06733928355,2700,2030,3600,1.167721519,31.6,29.2,34,NA,36.9,36.9,36.9,1,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Caramaschi & Cruz (2000); Garcia & Haddad (2008)
Boana_eucharis,lentic,3.405004665,1.52179165,NA,NA,2541,1938,3144,NA,33.25,31.8,34.7,NA,NA,NA,NA,NA,Boana albopunctata,Boana,NA,high_DF,high_DF,Fouquet et al. (2021)
Boana_exastis,lotic,3.152288344,1.954483717,1.937016107,-0.01746760968,1420,1300,1510,0.960577457,90.05,81.1,99,NA,86.5,86.5,86.5,1,Boana faber,Boana,male_SSD,low_DF,low_DF,Caramaschi & Rodrigues (2003); Loebmann et al. (2008)
Boana_faber,lentic,3.096910013,1.996511672,2.016197354,0.01968568147,1250,1000,1500,1.046370968,99.2,97,104,10,103.8,103.8,103.8,1,Boana faber,Boana,female_SSD,low_DF,low_DF,"Lutz (1973), Heyer (1990)"
Boana_fasciata,lentic,3.268533511,1.549003262,1.715083671,0.1660804087,1855.81,1712,2088.7,1.465819209,35.4,32.65,37.74,19,51.89,47.16,54.84,5,Boana albopunctata,Boana,female_SSD,low_DF,low_DF,Caminer & Ron (2014)
Boana_freicanecae,lentic,3.290034611,1.599337133,NA,NA,1950,1500,2400,NA,39.75,37.3,42.2,NA,NA,NA,NA,NA,Boana pulchella,Boana,NA,high_DF,high_DF,Carnaval & Peixoto (2004); Marinho et al. (2020)
Boana_geographica,ambiguous,2.974741905,1.633468456,1.686636269,0.05316781363,943.5,883,1023,1.130232558,43,NA,NA,5,48.6,NA,NA,5,Boana semilineata,Boana,female_SSD,low_DF,low_DF,Fouquet et al. (2016)
Boana_gladiator,lotic,2.924279286,1.626853415,1.71222867,0.0853752549,840,770,910,1.217237308,42.35,35.3,49.4,NA,51.55,47.8,55.3,NA,Boana pulchella,Boana,female_SSD,low_DF,low_DF,Kohler et al. (2010)
Boana_goiana,ambiguous,3.517789512,1.517855419,1.575764981,0.05790956161,3294.5,3000,3589,1.142640364,32.95,30.3,35.6,NA,37.65,37,38.3,NA,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Menin et al. (2004); Furtado et al. (2006)
Boana_gracilis,lentic,NA,1.54344718,1.486430479,-0.05701670123,NA,NA,NA,0.8769670959,34.95,32.7,37.2,NA,30.65,28.1,33.2,NA,Boana punctata,Boana,male_SSD,NA,NA,Sturaro et al. (2020)
Boana_guentheri,lentic,3.431202885,1.568201724,1.658011397,0.08980967269,2699,2627,2799,1.22972973,37,33,40,NA,45.5,44,47,2,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Lutz (1973); Forti et al. (2019)
Boana_heilprini,lotic,3.240049772,1.693726949,1.692846919,-0.0008800294297,1738,1378,2000,0.997975709,49.4,47,54.3,12,49.3,46.2,52,4,Boana albopunctata,Boana,male_SSD,low_DF,low_DF,Trueb & Tyler (1974); Galvis-Peñuela et al. (2016)
Boana_hobbsi,lotic,3.371529632,1.588271707,1.62324929,0.03497758356,2352.5,2080,2625,1.083870968,38.75,37.4,40.1,NA,42,NA,NA,NA,Boana benitezi,Boana,female_SSD,high_DF,high_DF,Pyburn (1978)
Boana_hutchinsi,lotic,3.397940009,1.635483747,1.746244872,0.1107611249,2500,1000,4000,1.290509259,43.2,39.3,47.1,NA,55.75,55.5,56,NA,Boana semilineata,Boana,female_SSD,high_DF,high_DF,Pyburn & Hal (1984)
Boana_icamiaba,lotic,3.270678836,1.755493728,1.761175813,0.005682084791,1865,1378,2067,1.013169447,56.95,51.5,62.4,19,57.7,51.2,64.2,3,Boana semilineata,Boana,female_SSD,high_DF,low_DF,Peloso et al. (2018)
Boana_jaguariavensis,lentic,3.670941281,1.440909082,NA,NA,4687.5,4500,4875,NA,27.6,25.2,30,NA,NA,NA,NA,NA,Boana pulchella,Boana,NA,high_DF,high_DF,Guerra et al. (2017)
Boana_jimenezi,lotic,3.511749711,1.495544338,NA,NA,3249,3010,3488,NA,31.3,27.6,35,NA,NA,NA,NA,NA,Boana benitezi,Boana,NA,high_DF,high_DF,Señaris & Ayarzaguena (2006)
Boana_joaquini,lotic,3.324364778,1.677606953,1.73479983,0.05719287687,2110.4,1656.3,2584,1.140756303,47.6,40.2,54.3,14,54.3,54.3,54.3,1,Boana pulchella,Boana,female_SSD,high_DF,high_DF,"Garcia et al. (2003), Widholzer (2016)"
Boana_lanciformis,lentic,2.84135947,1.903089987,1.937016107,0.03392612047,694,660,728,1.08125,80,NA,NA,NA,86.5,79,94,NA,Boana albopunctata,Boana,female_SSD,low_DF,low_DF,Duellman (1978)
Boana_lemai,lotic,3.428134794,1.471291711,1.540329475,0.06903776362,2680,2650,2710,1.172297297,29.6,28.6,30.4,7,34.7,34,35.4,2,Boana benitezi,Boana,female_SSD,high_DF,high_DF,Duellman (1997)
Boana_leptolineata,lentic,3.625518229,1.46834733,1.486430479,0.01808314844,4222,3500,5200,1.042517007,29.4,27.2,31.6,NA,30.65,29,32.3,NA,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Caorsi et al. (2017)
Boana_leucocheila,lotic,3.260905768,1.794488047,1.883945195,0.08945714838,1823.5,1732,1915,1.228731942,62.3,56.7,67.9,NA,76.55,71.9,81.2,NA,Boana albopunctata,Boana,female_SSD,low_DF,low_DF,Caramaschi & Niemeyer (2003); Pansonato et al. (2011)
Boana_lundii,lentic,2.717703781,1.79518459,1.779596491,-0.01558809831,522.04,447.92,602.9,0.96474359,62.4,NA,NA,NA,60.2,NA,NA,NA,Boana faber,Boana,male_SSD,low_DF,low_DF,Caramaschi & Napoli (2004); Mazzarelli (2015)
Boana_maculateralis,lentic,3.345947835,1.556302501,1.655138435,0.0988359342,2217.93,2174.92,2282.51,1.255555556,36,31.9,39.2,22,45.2,32,55.3,6,Boana albopunctata,Boana,female_SSD,high_DF,high_DF,Caminer & Ron (2014)
Boana_marginata,lotic,3.278753601,1.698970004,1.723455672,0.0244856677,1900,1500,2300,1.05800000,50,37.5,53.6,NA,52.9,49.2,56.6,NA,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Garcia et al. (2001)
Boana_marianitae,lotic,2.944482672,1.754348336,1.752048448,-0.00229988783,880,NA,NA,0.99471831,56.8,NA,NA,26,56.5,NA,NA,6,Boana pulchella,Boana,male_SSD,low_DF,low_DF,Duellman et al. (1997)
Boana_melanopleura,ambiguous,2.933487288,1.599883072,1.646403726,0.04652065429,858,795,928,1.113065327,39.8,33.9,42,6,44.3,43.1,45.8,7,Boana pulchella,Boana,female_SSD,low_DF,low_DF,Lehr et al. (2010)
Boana_microderma,lentic,3.389166084,1.501059262,NA,NA,2450,1600,3300,NA,31.7,31,32.7,NA,NA,NA,NA,NA,Boana benitezi,Boana,NA,high_DF,high_DF,Pyburn (1977)
Boana_multifasciata,lentic,3.290034611,1.681241237,1.72427587,0.04303463223,1950,900,3000,1.104166667,48,NA,NA,NA,53,NA,NA,NA,Boana albopunctata,Boana,female_SSD,high_DF,high_DF,de Sá (1996)
Boana_nigra,ambiguous,3.012626351,1.606918526,1.82314806,0.2162295339,1029.5,996,1063,1.645241038,40.45,38.5,42.4,NA,66.55,56.4,76.7,NA,Boana semilineata,Boana,female_SSD,low_DF,low_DF,Caminer & Ron (2020)
Boana_nympha,lentic,NA,1.46834733,1.514547753,0.04620042226,NA,NA,NA,1.112244898,29.4,24.4,31.2,10,32.7,26,36,10,Boana benitezi,Boana,female_SSD,NA,NA,Faivovich et al. (2006)
Boana_ornatissima,lotic,3.477121255,1.471291711,1.610660163,0.1393684519,3000,NA,NA,1.378378378,29.6,23,31,24,40.8,40,42,4,Boana benitezi,Boana,female_SSD,high_DF,high_DF,Hoogmoed (1979)
Boana_palaestes,lotic,3.014100322,1.636487896,1.69019608,0.004287245925,1033,861,1550,1.009920635,43.3,36.2,50.4,29,49,NA,NA,1,Boana pulchella,Boana,female_SSD,low_DF,low_DF,Duellman et al. (1997); Faivovich et al. (2021)
Boana_paranaiba,lotic,3.413299764,1.692846919,1.687528961,-0.005317958063,2590,2250,2930,0.9878296146,49.3,46.3,52.3,NA,48.7,46.2,51.2,NA,Boana albopunctata,Boana,male_SSD,high_DF,high_DF,Carvalho et al. (2010)
Boana_pardalis,lentic,2.916295995,1.804139432,1.836956737,0.03281730487,824.7,609.4,1546.9,1.078492936,63.7,59.3,68.4,NA,68.7,66.3,73.6,NA,Boana faber,Boana,female_SSD,low_DF,low_DF,Heyer et al. (1990)
Boana_pellucens,lentic,2.903089987,1.680335513,1.73479983,0.08546497079,800,NA,NA,1.217488789,47.9,43,52.8,114,54.3,45,60.3,18,Boana pellucens,Boana,female_SSD,low_DF,low_DF,Duellman (1971)
Boana_picturata,lentic,NA,1.689308859,1.820857989,0.1315491303,NA,NA,NA,1.353783231,48.9,45.6,52.7,10,66.2,62,69.4,10,Boana punctata,Boana,female_SSD,NA,NA,Ron (2018)
Boana_platanera,lentic,3.10720997,1.739572344,1.800029359,0.06045701479,1280,562,2287,1.149362477,54.9,46.5,63.3,195,63.1,54.3,74.7,76,Boana faber,Boana,female_SSD,low_DF,low_DF,Escalona Sulbarán et al. (2021)
Boana_poaju,lotic,3.427972714,1.580924976,1.643452676,0.06252770081,2679,2473,2885,1.154855643,38.1,33.5,42.7,NA,44,42.4,45.6,NA,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Garcia et al. (2008)
Boana_polytaenia,lentic,3.809404822,1.468642668,1.586812269,0.1181696012,6447.7,4147,7070,1.312712441,29.42,27.6,31.4,NA,38.62,36,41.5,NA,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Heyer (1990)
Boana_pombali,lentic,3.213783299,1.722633923,1.764176132,0.0415422099,1636,1076,2196,1.100378788,52.8,49,55.6,26,58.1,53.9,60.7,6,Boana semilineata,Boana,female_SSD,low_DF,low_DF,Caramaschi et al. (2004)
Boana_prasina,lentic,3.190331698,1.677606953,1.722057771,0.04445081852,1550,1200,1900,1.107773109,47.6,NA,NA,NA,52.73,NA,NA,NA,Boana pulchella,Boana,female_SSD,low_DF,low_DF,Haddad (1991); Guerra et al. (2015)
Boana_pugnax,lotic,3.15192118,1.812779707,NA,NA,1418.8,562.5,1687.5,NA,64.98,57.88,74.8,25,NA,NA,NA,NA,Boana faber,Boana,NA,low_DF,low_DF,Escalona et al. (2019)
Boana_pulchella,lentic,3.361727836,1.660865478,1.694605199,0.03373972085,2300,2200,2600,1.080786026,45.8,NA,NA,NA,49.5,NA,NA,NA,Boana pulchella,Boana,female_SSD,high_DF,high_DF,"Salas et al. (1998), Baraquet et al. (2007)"
Boana_punctata,lentic,2.984077034,1.561101384,1.565847819,0.004746435029,964,783,1130,1.010989011,36.4,31,40,NA,36.8,34,41.7,20,Boana punctata,Boana,female_SSD,low_DF,low_DF,Duellman (1978)
Boana_raniceps,lentic,2.88155583,1.744292983,1.8162413,0.07194831687,761.3,711,904,1.18018018,55.5,44,67,NA,65.5,50,81,NA,Boana albopunctata,Boana,female_SSD,low_DF,low_DF,Lutz (1973); Zimmerman (1983)
Boana_rhythmica,lotic,3.525692525,1.525044807,1.522444234,-0.002600573531,3355,3260,3450,0.9940298507,33.5,32.9,34.1,NA,33.3,NA,NA,NA,Boana benitezi,Boana,male_SSD,high_DF,high_DF,Señaris & Ayarzagüena (2002)
Boana_riojana,lotic,3.23299611,1.760422483,1.797267541,0.03684505754,1710,NA,NA,1.088541667,57.6,NA,NA,98,62.7,NA,NA,59,Boana pulchella,Boana,female_SSD,low_DF,low_DF,Duellman et al. (1997)
Boana_roraima,lotic,3.41763774,1.600972896,1.635483747,0.03451085116,2616,2540,2661,1.082706767,39.9,36,44.9,28,43.2,37.5,47.2,25,Boana benitezi,Boana,female_SSD,high_DF,high_DF,Barrio-Amorós et al. (2011)
Boana_rosenbergi,ambiguous,2.675778342,1.800029359,1.827369273,0.0236759405,474,453,495,1.056029233,63.1,55.7,76,110,67.2,57.4,75.5,51,Boana faber,Boana,female_SSD,low_DF,low_DF,Hobel (2000)
Boana_rubracyla,lotic,NA,1.702430536,1.766412847,0.06398231067,NA,NA,NA,1.158730159,50.4,NA,NA,NA,58.4,NA,NA,NA,Boana pellucens,Boana,female_SSD,NA,NA,Cochran & Goin (1970)
Boana_rufitela,lentic,3.204119983,1.664641976,1.7084209,0.04377892455,1600,NA,NA,1.106060606,46.2,41.2,49.2,25,51.1,49.6,52.6,2,Boana pellucens,Boana,female_SSD,low_DF,low_DF,Duellman (1970)
Boana_secedens,lentic,NA,1.713490543,1.806179974,0.09268943084,NA,NA,NA,1.237911025,51.7,48.7,56,8,64,64,64,1,Boana semilineata,Boana,female_SSD,NA,NA,Vrcibradic et al. (2016)
Boana_semiguttata,lentic,3.389166084,1.608526034,1.63447727,0.02595123671,2450,2100,2800,1.061576355,40.6,36.1,45.2,17,43.1,38.5,48,5,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Garcia et al. (2007)
Boana_semilineata,lentic,3.005609445,1.469822016,1.474216264,0.004394248302,1013,865,1235,1.010169492,29.5,36.23,NA,NA,29.8,NA,NA,NA,Boana semilineata,Boana,female_SSD,low_DF,low_DF,Lignau & Bastos (2003)
Boana_sibleszi,lotic,3.29125782,1.509202522,1.544068044,0.03486552191,1955.5,1680,2231,1.083591331,32.3,29.8,34.9,22,35,34.2,35.7,3,Boana punctata,Boana,female_SSD,high_DF,high_DF,"Duellman (1997); Señaris, & Ayarzagüena (2006)"
Boana_steinbachi,lentic,3.352182518,1.530199698,1.659440782,0.1292410837,2250,1688,2813,1.34660767,33.9,30.4,37.4,,45.65,42.5,48.8,,Boana albopunctata,Boana,female_SSD,high_DF,high_DF,Fouquet et al. (2021)
Boana_stellae,lotic,3.217483944,1.656098202,NA,NA,1650,1640,1660,NA,45.3,40.7,49.9,NA,NA,NA,NA,NA,Boana pulchella,Boana,NA,low_DF,low_DF,Kwet (2008)
Boana_stenocephala,lentic,3.604063973,1.479287316,1.591064607,0.1117772906,4018.5,3563,4474,1.293532338,30.15,28.4,31.9,NA,39,NA,NA,NA,Boana pulchella,Boana,female_SSD,high_DF,high_DF,Santos et al. (2009); Martins et al. (2016)
Boana_tepuiana,lotic,3.397940009,1.5289167,1.631443769,0.1025270686,2500,NA,NA,1.266272189,33.8,31.8,36,4,42.8,38.7,47.7,4,Boana benitezi,Boana,female_SSD,high_DF,high_DF,Barrio-Amoros & Brewer-Carias (2008)
Boana_tetete,lentic,3.28751061,1.501059262,1.658011397,0.1569521344,1938.7,1830.31,1959.23,1.43533123,31.7,31.1,32.2,5,45.5,45.3,45.8,2,Boana albopunctata,Boana,female_SSD,high_DF,high_DF,Ron & Caminer (2014)
Boana_ventrimaculata,lentic,2.749272408,1.721810615,1.911690159,0.1898795435,561.4,475,685,1.548387097,52.7,44.5,60.7,20,81.6,72.9,90.5,17,Boana semilineata,Boana,female_SSD,low_DF,low_DF,Ron & Caminer (2020)
Boana_wavrini,lentic,2.843232778,2.004321374,1.892094603,-0.1122267709,697,673,730,0.772277228,101,89,113,26,78,75,81,6,Boana semilineata,Boana,male_SSD,low_DF,low_DF,Hoogmoed (1990)
Boana_xerophylla,lentic,3.106190897,1.727134424,1.75089392,0.02375949662,1277,562.5,1875,1.056232427,53.35,42.9,63.8,NA,56.35,40.9,71.8,NA,Boana faber,Boana,female_SSD,low_DF,low_DF,Orrico et al. (2017); Juncá et al. (2019)
